t,wall,segment,left_cmd_x,left_cmd_y,left_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,left_ee_x,left_ee_y,left_ee_z,left_j1,left_j2,left_j3,left_j4,left_j5,left_j6,left_j7,left_ax,left_ay,left_az,left_clutch,left_scale,left_elev,left_azim,left_reach,left_valid,left_dropouts,left_elev_held,left_ik_success,left_ik_fail,left_ik_direct,left_ik_slewed,left_ik_rejected,right_cmd_x,right_cmd_y,right_cmd_z,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,right_ee_x,right_ee_y,right_ee_z,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,right_j7,right_ax,right_ay,right_az,right_clutch,right_scale,right_elev,right_azim,right_reach,right_valid,right_dropouts,right_elev_held,right_ik_success,right_ik_fail,right_ik_direct,right_ik_slewed,right_ik_rejected,fsr1,fsr2,btn1,btn2
49.7339,1785499076.4308,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15969508119003947,0.6520487932677562,1.2458020143340787,-0.06574517579383526,0.6166910160706681,0.5711238353755198,0.5385659915214853,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.7,23.0,0.0,148.9,0.0,114.5,0.0,-0.898,0.184,0.3,1.0,1.0,-76.93085136892856,4.699999999999989,0.27065454183034593,1.0,0.0,0.0,2647.0,0.0,2647.0,0.0,0.0,4.72,3.17,0.0,0.0
49.7584,1785499076.4553,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.7,23.0,0.0,148.9,0.0,114.5,0.0,-0.898,0.184,0.3,1.0,1.0,-76.93085136892856,4.699999999999989,0.27065454183034593,1.0,0.0,0.0,2647.0,0.0,2647.0,0.0,0.0,4.72,3.17,0.0,0.0
49.7798,1785499076.4767,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-76.93085136892856,4.699999999999989,0.27065454183034593,1.0,0.0,0.0,2647.0,0.0,2647.0,0.0,0.0,4.72,3.17,0.0,0.0
49.801,1785499076.4979,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2647.0,0.0,2647.0,0.0,0.0,4.72,3.17,0.0,0.0
49.8222,1785499076.5191,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.72,3.17,0.0,0.0
49.8437,1785499076.5406,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.55,3.22,0.0,0.0
49.8647,1785499076.5616,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.159598832749832,0.6521554496909894,1.2458913736310073,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.55,3.22,0.0,0.0
49.889,1785499076.5859,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.16006547499935453,0.6521247831282805,1.245925040793212,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.55,3.22,0.0,0.0
49.9101,1785499076.607,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.15954216909193109,0.6522548755604892,1.2457819102641907,-0.07065643311624982,0.6207787978701441,0.5708490272395768,0.5335154549531032,-0.16006547499935453,0.6521247831282805,1.245925040793212,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.55,3.22,0.0,0.0
49.9314,1785499076.6283,left_rest_forward,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.16026688054808386,0.6523057090406601,1.2459494438422811,-0.06786099741111251,0.6234600820687057,0.5677854620412536,0.534020673936742,-0.16006547499935453,0.6521247831282805,1.245925040793212,347.4,23.0,0.0,148.9,0.0,114.5,0.0,-0.902,0.179,0.303,1.0,1.0,-77.35096526380242,4.5,0.27065454183034593,1.0,0.0,0.0,2617.0,0.0,2617.0,0.0,0.0,4.55,3.22,0.0,0.0
