t,wall,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_left_j7,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_left_j7,master_left_x,master_left_y,master_left_z,master_left_qx,master_left_qy,master_left_qz,master_left_qw,cmd_left_x,cmd_left_y,cmd_left_z,sim_left_fresh,real_left_fresh,master_left_fresh,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,sim_right_j7,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,real_right_j7,master_right_x,master_right_y,master_right_z,master_right_qx,master_right_qy,master_right_qz,master_right_qw,cmd_right_x,cmd_right_y,cmd_right_z,sim_right_fresh,real_right_fresh,master_right_fresh,vr_left_engaged,vr_left_grip,vr_left_refused,vr_left_disp_m,vr_left_lag_m,vr_left_cutoff_hz,vr_left_tracked,vr_left_fresh,vr_right_engaged,vr_right_grip,vr_right_refused,vr_right_disp_m,vr_right_lag_m,vr_right_cutoff_hz,vr_right_tracked,vr_right_fresh,estop,n_detections,autonomy_left,autonomy_right
1.7911,1788063452.9805,0.5021245210509213,1.6982662645354991,-2.3120344602328227,-0.15462695148905828,-2.016036003094667,1.3752541690322584,-0.8183440436089585,1.7112003099927462,0.6352982098818656,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.578217,0.387648,0.953672,-0.533809,0.781741,-0.180499,0.267111,,,,1,0,1,2.6574235088883715,-1.5914046111166806,-0.09719999737471596,-0.48163557416100894,2.34161543693766,0.9220906426895138,-2.3552201506302044,2.663723816017572,-1.59208563654899,-0.1186283802287076,-0.48188195501886166,2.363386356716104,0.9153665498638223,-2.3617482463295962,-0.421314,0.296601,0.820945,0.445871,0.861622,0.06361,0.23401,,,,1,0,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
1.8432,1788063453.0327,0.501757811980866,1.6985888340901119,-2.325975362849,-0.15481761424382645,-2.002667825216956,1.3748783421200266,-0.8179656747645959,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.578217,0.387648,0.953672,-0.533809,0.781741,-0.180499,0.267111,,,,1,1,0,2.6574235088883715,-1.5914046111166806,-0.09719999737471596,-0.48163557416100894,2.34161543693766,0.9220906426895138,-2.3552201506302044,2.6637778781877004,-1.5922416977888687,-0.11863104338979769,-0.48190858662976244,2.3633823619744687,0.9153712769747572,-2.3617482463295962,-0.421314,0.296601,0.820945,0.445871,0.861622,0.06361,0.23401,,,,1,1,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
1.8926,1788063453.082,0.5013400393679497,1.6989247142712731,-2.33374702933241,-0.1550266369751509,-1.9953373221813617,1.3744403601237678,-0.8175655518014135,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.578344,0.387613,0.95364,-0.53372,0.781736,-0.180644,0.267207,,,,1,0,1,2.6574144886728033,-1.5914033765852988,-0.097156252795724,-0.48163414314784,2.3415670457705464,0.9221004344710588,-2.355211207536586,2.6637778781877004,-1.5922416977888687,-0.11863104338979769,-0.48190858662976244,2.3633823619744687,0.9153712769747572,-2.3617482463295962,-0.421314,0.296603,0.820944,0.445871,0.861622,0.063609,0.23401,,,,1,0,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
1.9417,1788063453.1311,0.5013400393679497,1.6989247142712731,-2.33374702933241,-0.1550266369751509,-1.9953373221813617,1.3744403601237678,-0.8175655518014135,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.576452,0.388261,0.954329,-0.535542,0.781031,-0.178779,0.266877,,,,1,1,1,2.657372162807141,-1.5913908366679408,-0.09694980290281625,-0.48164432922782313,2.341332871212443,0.9221398507564094,-2.3551598170936545,2.6638162277073976,-1.592318396828263,-0.11872798245347657,-0.4819730351281424,2.3634737083998583,0.9153732077665475,-2.361750909490686,-0.421314,0.296603,0.820944,0.445871,0.861622,0.06361,0.23401,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
1.9929,1788063453.1824,0.5013062101266542,1.6989328677900988,-2.3316802289168987,-0.15501624259527158,-1.9977825518618924,1.374361888776886,-0.817523713478804,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.576452,0.388261,0.954329,-0.535542,0.781031,-0.178779,0.266877,,,,1,1,1,2.657331376668059,-1.5913781833382046,-0.09675076312816344,-0.4816555715300571,2.341106615460449,0.9221772818952685,-2.355109500346586,2.6638138308624164,-1.5923610074057042,-0.11877432145644394,-0.48212004162031474,2.3635365590015844,0.9153779348774824,-2.3617527737034494,-0.421314,0.296603,0.820944,0.445871,0.861622,0.06361,0.23401,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
2.0425,1788063453.232,0.501202986669835,1.6989577466926749,-2.325373782917086,-0.15498452613396327,-2.00524370235406,1.3741224484768313,-0.8173960518428379,1.7112003099927462,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.576452,0.388261,0.954329,-0.535542,0.781031,-0.178779,0.266877,,,,1,0,1,2.657318010760835,-1.5913800012655193,-0.0966880998372344,-0.4816455334975362,2.341039123501865,0.922195016293692,-2.355100316591247,2.6638138308624164,-1.5923610074057042,-0.11877432145644394,-0.48212004162031474,2.3635365590015844,0.9153779348774824,-2.3617527737034494,-0.421314,0.296602,0.820944,0.445871,0.861622,0.06361,0.23401,,,,1,0,1,0,0,,,,,0,1,0,0,,,,,0,1,0,0,,
2.0952,1788063453.2847,0.5012181547913246,1.6989499463331696,-2.324714893280259,-0.15497328727524606,-2.0063968301368598,1.3741321310741774,-0.8174000359003328,1.7112003099927462,0.6352982098818656,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.576539,0.38813,0.954158,-0.53532,0.781305,-0.178859,0.266466,,,,1,1,1,2.657295052762819,-1.5913831238348282,-0.0965804660130071,-0.48162829163532417,2.340923195699489,0.9222254778461322,-2.3550845420812707,2.663799716108639,-1.5924089443053255,-0.1187327761434387,-0.4822191112128657,2.3635022042235225,0.9154017035902113,-2.361745316852397,-0.421315,0.296601,0.820945,0.445871,0.861622,0.06361,0.234011,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
2.1443,1788063453.3338,0.5013076905149539,1.6989165616991815,-2.325668914825546,-0.15495551229902035,-2.006332228296041,1.3742671849080723,-0.8174686857857736,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,0.576591,0.388008,0.953999,-0.535126,0.781568,-0.178912,0.266049,,,,1,1,1,2.657284656862071,-1.5913845378048352,-0.09653172698301749,-0.48162048413015135,2.3408707009686074,0.9222392715260331,-2.355077399026378,2.663799716108639,-1.5924089443053255,-0.1187327761434387,-0.4822191112128657,2.3635022042235225,0.9154017035902113,-2.361745316852397,-0.421314,0.296602,0.820944,0.445871,0.861622,0.06361,0.234011,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
2.196,1788063453.3855,0.5014830265421844,1.6988428023933497,-2.3292965045593066,-0.15491350658086483,-2.0025037833377843,1.3745059338683618,-0.8175947251872435,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,0.576591,0.388008,0.953999,-0.535126,0.781568,-0.178912,0.266049,,,,1,1,1,2.6572555038366534,-1.5913776248051947,-0.09639009994808743,-0.481623547526713,2.340711087923155,0.9222680537552368,-2.3550440463169022,2.6635134262914555,-1.59255541816528,-0.11718867534341076,-0.48224148176602233,2.361698711533321,0.9158545741335793,-2.361440917539801,-0.421314,0.296602,0.820944,0.445871,0.861622,0.06361,0.234011,,,,1,1,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
2.2424,1788063453.4318,0.5018209355546102,1.6986927434344943,-2.3379476154742704,-0.15482576194832562,-1.991632700502871,1.3749417812790963,-0.8178297072131793,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,0.576446,0.38788,0.95385,-0.535021,0.781873,-0.178834,0.265416,,,,1,1,1,2.6572205194644165,-1.59136932902974,-0.09622014390277829,-0.4816272236805284,2.340519548207604,0.9223025931625826,-2.355004022216944,2.6635134262914555,-1.59255541816528,-0.11718867534341076,-0.48224148176602233,2.361698711533321,0.9158545741335793,-2.361440917539801,-0.421314,0.296603,0.820944,0.445871,0.861622,0.06361,0.234011,,,,1,1,1,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,
